stock_id,stock_name,listing_date
3207,耀勝,2004-11-04
3211,順達,2004-11-08
3213,茂訊,2004-10-01
3217,優群,2004-04-30
3218,大學光,2004-11-29
3219,倚強科,2004-03-19
3221,台嘉碩,2006-02-22
3224,三顧,2004-06-03
3226,龍鋒,2004-06-16
3227,原相,2006-05-04
3228,金麗科,2005-03-02
3230,錦明,2006-09-25
3232,昱捷,2004-11-01
3234,光環,2011-03-24
3236,千如,2004-12-02
3252,海灣,2004-09-23
3259,鑫創,2007-12-24
3260,威剛,2004-10-08
3264,欣銓,2005-01-05
3265,台星科,2005-08-02
3268,海德威,2005-01-27
3272,東碩,2014-08-26
3276,宇環,2005-01-12
3284,太普高,2005-03-22
3285,微端,2012-07-23
3287,廣寰科,2008-01-28
3288,點晶,2005-04-15
3289,宜特,2004-12-28
3290,東浦,2005-05-19
3293,鈊象,2006-07-12
3294,英濟,2007-04-27
3297,杭特,2005-06-07
3303,岱稜,2007-05-28
3306,鼎天,2005-07-05
3310,佳穎,2008-06-27
3313,斐成,2006-05-29
3317,尼克森,2007-08-09
3322,建舜電,2009-05-20
3323,加百裕,2007-06-25
3324,雙鴻,2005-05-13
3325,旭品,2005-08-15
3332,幸康,2008-01-24
3339,泰谷,2006-06-27
3349,寶德,2022-03-23
3354,律勝,2005-12-08
3357,臺慶科,2021-04-27
3360,尚立,2006-06-06
3362,先進光,2005-09-06
3363,上詮,2011-02-25
3372,典範,2005-12-16
3373,熱映,2007-12-13
3374,精材,2015-03-30
3379,彬台,2011-10-20
3388,崇越電,2006-02-22
3390,旭軟,2006-02-22
3402,漢科,2007-01-09
3430,奇鈦科,2022-09-08
3434,哲固,2008-01-28
3438,類比科,2006-07-19
3441,聯一光電,2010-10-04
3444,利機,2008-09-26
3455,由田,2007-12-27
3465,進泰電子,2008-01-28
3466,德晉,2006-05-17
3467,台灣精材,2025-03-25
3479,安勤,2010-06-08
3483,力致,2006-12-18
3484,崧騰,2007-11-09
3485,敘豐,2026-05-06
3489,森寶,2007-09-29
3490,單井,2007-10-15
3491,昇達科,2008-01-03
3492,長盛,2015-05-18
3498,陽程,2007-09-11
3499,環天科,2006-10-19
3508,位速,2007-10-17
3511,矽瑪,2009-02-16
3512,皇龍,2007-07-25
3516,亞帝歐,2007-11-29
3520,華盈,2007-10-12
3521,台鋼建設,2007-08-07
3522,御嵿,2007-10-15
3523,迎輝,2007-11-16
3526,凡甲,2007-11-02
3527,聚積,2007-10-29
3529,力旺,2011-01-24
3531,先益,2008-04-08
3537,堡達,2010-01-25
3540,曜越,2007-12-12
3541,西柏,2009-12-22
3546,宇峻,2008-04-18
3548,兆利,2008-03-27
3551,世禾,2008-04-15
3552,同致,2009-01-07
3555,博士旺,2011-11-08
3556,禾瑞亞,2008-04-15
3558,神準,2013-12-30
3564,其陽,2013-12-03
3567,逸昌,2010-11-22
3570,大塚,2008-10-23
3577,泓格,2009-01-06
3580,友威科,2010-07-09
3581,博磊,2015-01-20
3587,閎康,2009-08-18
3594,磐儀,2013-05-07
3597,映興,2020-03-09
3609,三一東林,2011-01-11
3611,鼎翰,2008-11-26
3615,安可,2009-04-15
3623,富晶通,2010-04-28
3624,光頡,2011-03-16
3625,西勝,2009-10-28
3628,盈正,2010-09-09
3629,地心引力,2010-05-27
3630,新鉅科,2010-04-26
3631,晟楠,2010-12-20
3632,研勤,2011-01-11
3646,艾恩特,2012-03-27
3663,鑫科,2012-11-20
3664,安瑞-KY,2010-06-24
3666,光耀,2014-12-04
3672,康聯訊,2015-04-20
3675,德微,2012-06-29
3680,家登,2011-08-31
3684,榮昌,2014-03-28
3685,元創精密,2010-12-08
3687,歐買尬,2011-01-11
3689,湧德,2012-10-18
3691,碩禾,2010-11-18
3693,營邦,2013-11-27
3707,漢磊,2014-10-01
3709,鑫聯大投控,2017-09-01
3710,連展投控,2017-12-29
3713,新晶投控,2020-02-27
4102,永日,2001-03-20
4105,東洋,2001-09-27
4107,邦特,2002-03-04
4109,加捷生醫,2002-08-08
4111,濟生,1999-03-06
4113,聯上,2003-07-22
4114,健喬,2003-05-12
4116,明基醫,2015-12-16
4120,友華,2003-11-05
4121,優盛,2003-07-25
4123,晟德,2003-10-07
4126,太醫,2004-02-09
4127,天良,2005-07-29
4128,中天,2006-06-09
4129,聯合,2004-09-29
4130,健亞,2012-01-12
4131,浩泰,2004-04-09
4138,曜亞,2010-12-29
4139,馬光-KY,2011-04-29
4147,中裕,2015-11-23
4153,鈺緯,2013-05-23
4154,樂威科-KY,2011-12-28
4157,太景*-KY,2014-01-17
4160,訊聯基因,2012-09-17
4161,聿新科,2013-06-26
4162,智擎,2012-09-18
4163,鐿鈦,2012-11-15
4166,友霖,2025-08-21
4167,松瑞藥,2015-09-08
4168,醣聯,2012-12-18
4171,瑞基,2014-08-14
4173,久裕,2013-10-31
4174,浩鼎,2015-03-23
4175,杏一,2014-04-23
4183,福永生技,2017-03-09
4188,安克,2015-03-24
4192,杏國,2014-10-28
4198,欣大健康,2014-12-23
4205,中華食,1999-01-31
4207,環泰,2000-01-21
4303,信立,1999-03-10
4304,勝昱,2000-01-27
4305,世坤,2000-09-28
4401,東隆興,1996-05-09
4402,郡都開發,1997-07-23
4406,新昕纖,1999-01-14
4413,飛寶企業,1999-07-29
4416,三圓,2000-05-06
4417,金洲,2000-11-07
4419,皇家美食,2001-06-26
4420,光明,2002-04-18
4430,耀億,2011-06-09
4432,銘旺實,2012-11-26
4433,興采,2014-11-03
4442,竣邦-KY,2023-11-29
4502,健信,1995-12-12
4503,金雨,1996-12-19
4506,崇友,1997-12-06
4510,高鋒,1998-02-24
4513,福裕,1998-03-25
4523,永彰,1999-11-22
4527,方方土霖,2000-09-28
4528,江興鍛,2001-02-12
4529,淳紳,2001-05-04
4530,天意能創,2001-04-30
4533,協易機,2002-04-26
4534,慶騰,2003-03-31
4535,至興,2003-04-16
4538,大詠城,2019-01-15
4541,晟田,2014-07-22
4542,科嶠,2014-08-25
4543,萬在,2016-03-15
4549,桓達,2014-11-27
4550,長佳,2015-03-18
4554,橙的,2016-08-05
4556,旭然,2015-12-22
4558,寶緯,2022-03-17
4561,健椿,2018-06-11
4563,百德,2018-07-12
4568,科際精密,2018-10-03
4577,達航科技,2022-06-14
4580,捷流閥業,2020-01-06
4584,君帆,2022-10-05
4609,唐鋒,2000-05-19
4702,中美實,1995-04-21
4706,大恭,1998-04-17
4707,磐亞,1998-05-20
4711,永純,1999-02-24
4714,永捷,2000-03-27
4716,大立,2000-03-27
4721,美琪瑪,2001-03-09
4726,永昕,2013-12-25
4728,雙美,2012-01-10
4729,熒茂,2009-02-24
4735,豪展,2011-08-16
4741,泓瀚,2017-09-26
4743,合一,2011-09-23
4744,皇將,2018-07-12
4745,合富-KY,2013-01-30
4747,強生製藥,2013-12-25
4749,新應材,2025-01-17
4754,國碳科,2016-09-28
4760,勤凱科技,2019-03-21
4767,誠泰科技,2018-10-29
4768,晶呈科技,2022-04-13
4772,台特化,2024-09-20
4804,大略-KY,2015-12-04
4806,桂田文創,2016-03-09
4903,聯光通,2001-05-14
4905,台聯電,2001-12-07
4907,富宇,2002-03-04
4908,前鼎,2002-02-27
4909,新復興,2002-11-28
4911,德英,2011-03-21
4923,力士,2022-03-14
4924,欣厚-KY,2011-10-18
4931,新盛力,2019-09-17
4933,友輝,2011-07-29
4939,亞電,2011-09-19
4946,辣椒,2011-06-10
4950,金耘國際,2012-04-27
4951,精拓科,2022-11-03
4953,緯致,2014-01-08
4966,譜瑞-KY,2011-09-13
4971,IET-KY,2013-07-24
4972,湯石照明,2013-06-17
4973,廣穎電通,2012-06-19
4974,亞泰,2011-11-29
4979,華星光,2011-12-12
4991,環宇-KY,2014-09-15
4995,晶達,2012-05-09
5009,榮剛,1998-10-17
5011,久陽,1999-05-06
5013,強新,2000-05-08
5014,建錩,2001-02-15
5015,華祺,2000-12-15
5016,松和,2001-03-05
5201,凱衛,2000-10-12
5202,力新,2000-10-18
5205,中茂,2001-05-14
5206,坤悅,2001-10-08
5209,新鼎,2002-02-25
5210,寶碩,2002-04-25
5211,蒙恬,2002-12-23
5212,凌網,2003-03-24
5213,亞昕,2003-04-24
5220,萬達光電,2018-04-26
5223,安力-KY,2018-07-02
5227,立凱-KY,2013-12-09
5228,鈺鎧,2022-05-20
5230,雷笛克光學,2012-06-05
5245,智晶,2015-05-25
5251,天鉞電,2012-11-26
5263,智崴,2012-12-18
5272,笙科,2013-05-30
5274,信驊,2013-04-30
5276,達輝-KY,2014-06-12
5278,尚凡*,2013-06-04
5287,數字,2014-01-20
5289,宜鼎,2013-11-27
5291,邑昇,2014-12-23
5299,杰力,2018-01-23
5301,寶得利,1990-06-25
5302,太欣,1991-01-17
5309,系統電,1996-03-18
5310,天剛,1996-04-09
5312,寶島科,1996-05-25
5314,世紀*,1996-09-16
5315,光聯,1996-11-02
5321,美而快,1996-12-30
5324,士開,1997-01-30
5328,華容,1997-08-28
5340,建榮,1998-01-20
5344,立衛,1998-03-23
5345,馥鴻,1998-03-23
5347,世界,1998-03-25
5348,正能量智能,1998-04-29
5351,鈺創,1998-05-15
5353,台林,1998-05-18
5355,佳總,1998-06-23
5356,協益,1998-07-20
5364,力麗店,1998-12-07
5371,中光電,1999-01-20
5381,光譜,1999-03-19
5386,青雲,1999-05-13
5392,能率,1999-06-14
5398,慕康生醫,1999-10-11
5403,中菲,1999-10-15
5410,國眾,1999-11-26
5425,台半,2000-02-21
5426,振發,2000-02-09
5432,新門,2000-03-21
5438,東友,2000-06-17
5439,高技,2000-06-26
5443,均豪,1998-02-09
5450,南良,2000-08-22
5452,佶優,2000-10-02
5455,昇益,2000-10-19
5457,宣德,2000-09-29
5460,同協,2000-09-28
5464,霖宏,2000-11-08
5465,富驊,2000-11-08
5468,凱鈺,2001-01-17
5474,聰泰,2001-03-20
5475,德宏,2001-01-16
5478,智冠,2001-03-29
5481,新華,2001-04-27
5483,中美晶,2001-03-02
5487,通泰,2001-02-20
5488,松普,2001-03-12
5489,彩富,2001-03-12
5490,同亨,2001-05-14
5493,三聯,2001-05-03
5498,凱崴,2001-03-29
5508,永信建,1998-05-13
5511,德昌,1998-12-09
5512,力麒,1998-12-04
5514,三豐,1998-12-29
5516,雙喜,1999-03-23
5520,力泰,1999-10-27
5523,豐謙,1999-12-27
5529,鉅陞,1996-01-12
5530,龍巖,2000-10-04
