event_id,stock_id,stock_name,signal_date,notification_type,status,percentile,event_age_days,reason,trade_action
P6D-TWSE-1216-2026-07-27,1216,統一,2026-07-27,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,99.73262032085562,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2634-2026-07-27,2634,漢翔,2026-07-27,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,96.2566844919786,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-8150-2026-07-27,8150,南茂,2026-07-27,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,91.44385026737967,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2357-2026-05-29,2357,華碩,2026-07-28,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,55.91397849462365,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6789-2026-05-29,6789,采鈺,2026-07-28,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,79.3010752688172,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-2412-2026-06-01,2412,中華電,2026-07-29,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,50.673854447439346,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-3045-2026-06-01,3045,台灣大,2026-07-29,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,48.517520215633425,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-6415-2026-06-01,6415,矽力*-KY,2026-07-29,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,48.78706199460917,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-9910-2026-07-29,9910,豐泰,2026-07-29,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,98.92183288409704,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2605-2026-07-30,2605,新興,2026-07-30,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,92.6829268292683,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-2882-2026-06-02,2882,國泰金,2026-07-30,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,82.38482384823848,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
P6D-TWSE-8454-2026-07-30,8454,富邦媒,2026-07-30,TWSE_TRACK_CONFIRMED,TWSE_TRACK_CONFIRMED,91.59891598915989,0,上市法人排名連續3個交易日位於同日TWSE前10%，建立40日追蹤,TRACK_ONLY
P6D-TWSE-3005-2026-06-03,3005,神基,2026-07-31,TWSE_DAY40_END,TWSE_TRACK_CONFIRMED,80.60109289617486,40,上市法人40日追蹤期結束；不代表賣出,TRACK_ONLY
