event_id,stock_id,stock_name,signal_date,entry_percentile,entry_trigger,status,end_signal_date,end_reason
P6D-TWSE-2439-2026-04-21,2439,美律,2026-04-21,93.58600583090379,TOP10_CONFIRM_3D,ENDED,2026-06-17,TWSE_DAY40_END
P6D-TWSE-2542-2026-04-21,2542,興富發,2026-04-21,90.0874635568513,TOP10_CONFIRM_3D,ENDED,2026-06-17,TWSE_DAY40_END
P6D-TWSE-6191-2026-04-22,6191,精成科,2026-04-22,92.77456647398844,TOP10_CONFIRM_3D,ENDED,2026-06-18,TWSE_DAY40_END
P6D-TWSE-1216-2026-04-23,1216,統一,2026-04-23,91.19318181818183,TOP10_CONFIRM_3D,ENDED,2026-06-22,TWSE_DAY40_END
P6D-TWSE-4915-2026-04-23,4915,致伸,2026-04-23,93.4659090909091,TOP10_CONFIRM_3D,ENDED,2026-06-22,TWSE_DAY40_END
P6D-TWSE-2382-2026-04-24,2382,廣達,2026-04-24,95.29085872576178,TOP10_CONFIRM_3D,ENDED,2026-06-23,TWSE_DAY40_END
P6D-TWSE-4763-2026-04-24,4763,材料*-KY,2026-04-24,98.06094182825484,TOP10_CONFIRM_3D,ENDED,2026-06-23,TWSE_DAY40_END
P6D-TWSE-6278-2026-04-27,6278,台表科,2026-04-27,92.28650137741047,TOP10_CONFIRM_3D,ENDED,2026-06-24,TWSE_DAY40_END
P6D-TWSE-6670-2026-04-27,6670,復盛應用,2026-04-27,92.56198347107438,TOP10_CONFIRM_3D,ENDED,2026-06-24,TWSE_DAY40_END
P6D-TWSE-3034-2026-04-29,3034,聯詠,2026-04-29,93.73297002724796,TOP10_CONFIRM_3D,ENDED,2026-06-26,TWSE_DAY40_END
P6D-TWSE-2383-2026-04-30,2383,台光電,2026-04-30,97.26775956284153,TOP10_CONFIRM_3D,ENDED,2026-06-29,TWSE_DAY40_END
P6D-TWSE-3661-2026-04-30,3661,世芯-KY,2026-04-30,94.53551912568307,TOP10_CONFIRM_3D,ENDED,2026-06-29,TWSE_DAY40_END
P6D-TWSE-2408-2026-05-04,2408,南亞科,2026-05-04,98.63013698630137,TOP10_CONFIRM_3D,ENDED,2026-06-30,TWSE_DAY40_END
P6D-TWSE-2049-2026-05-05,2049,上銀,2026-05-05,94.5945945945946,TOP10_CONFIRM_3D,ENDED,2026-07-01,TWSE_DAY40_END
P6D-TWSE-6805-2026-05-05,6805,富世達,2026-05-05,93.51351351351352,TOP10_CONFIRM_3D,ENDED,2026-07-01,TWSE_DAY40_END
P6D-TWSE-2327-2026-05-06,2327,國巨*,2026-05-06,97.05882352941177,TOP10_CONFIRM_3D,ENDED,2026-07-02,TWSE_DAY40_END
P6D-TWSE-2454-2026-05-06,2454,聯發科,2026-05-06,96.52406417112299,TOP10_CONFIRM_3D,ENDED,2026-07-02,TWSE_DAY40_END
P6D-TWSE-2887-2026-05-06,2887,台新新光金,2026-05-06,95.18716577540107,TOP10_CONFIRM_3D,ENDED,2026-07-02,TWSE_DAY40_END
P6D-TWSE-9939-2026-05-06,9939,宏全,2026-05-06,98.93048128342245,TOP10_CONFIRM_3D,ENDED,2026-07-02,TWSE_DAY40_END
P6D-TWSE-3010-2026-05-07,3010,華立,2026-05-07,91.71122994652407,TOP10_CONFIRM_3D,ENDED,2026-07-03,TWSE_DAY40_END
P6D-TWSE-8210-2026-05-07,8210,勤誠,2026-05-07,91.44385026737967,TOP10_CONFIRM_3D,ENDED,2026-07-03,TWSE_DAY40_END
P6D-TWSE-2618-2026-05-08,2618,長榮航,2026-05-08,94.25587467362925,TOP10_CONFIRM_3D,ENDED,2026-07-06,TWSE_DAY40_END
P6D-TWSE-2344-2026-05-11,2344,華邦電,2026-05-11,94.51697127937337,TOP10_CONFIRM_3D,ENDED,2026-07-07,TWSE_DAY40_END
P6D-TWSE-1319-2026-05-12,1319,東陽,2026-05-12,98.16272965879264,TOP10_CONFIRM_3D,ENDED,2026-07-08,TWSE_DAY40_END
P6D-TWSE-1477-2026-05-14,1477,聚陽,2026-05-14,97.35449735449735,TOP10_CONFIRM_3D,ENDED,2026-07-13,TWSE_DAY40_END
P6D-TWSE-2548-2026-05-14,2548,華固,2026-05-14,91.7989417989418,TOP10_CONFIRM_3D,ENDED,2026-07-13,TWSE_DAY40_END
P6D-TWSE-6139-2026-05-14,6139,亞翔,2026-05-14,96.03174603174604,TOP10_CONFIRM_3D,ENDED,2026-07-13,TWSE_DAY40_END
P6D-TWSE-2472-2026-05-18,2472,立隆電,2026-05-18,95.56135770234987,TOP10_CONFIRM_3D,ENDED,2026-07-15,TWSE_DAY40_END
P6D-TWSE-2393-2026-05-19,2393,億光,2026-05-19,94.44444444444444,TOP10_CONFIRM_3D,ENDED,2026-07-16,TWSE_DAY40_END
